Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,CustLat,CustLon,FactLat,FactLon,Distance_mi,BaseDays,LeadTime_days
50,US-2021-147627-CHO-TRI-54000,20-01-2024,19-07-2026,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,Wicked Choccy's,34.9697,-92.3731,32.076176,-81.088371,679.1252768252511,2.3582505536505023,2.1269437061855663
51,US-2021-147627-CHO-SCR-58000,20-01-2024,19-07-2026,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,34.9697,-92.3731,32.881893,-111.768036,1118.6725513617769,3.2373451027235536,5.115284829601166
52,US-2021-167927-CHO-NUT-13000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,43.3266,-84.5361,32.881893,-111.768036,1635.8269360528968,4.2716538721057935,6.099414983825636
53,US-2021-167927-CHO-MIL-31000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,43.3266,-84.5361,32.076176,-81.088371,799.0939472572701,2.59818789451454,3.355744241527043
54,US-2021-147774-CHO-NUT-13000,20-01-2024,19-07-2026,Standard Class,147774,United States,Smyrna,Tennessee,37167,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot's O' Nuts,35.7478,-86.6923,32.881893,-111.768036,1439.652980693974,3.8793059613879484,6.308299973154616
55,US-2021-167927-CHO-TRI-54000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,43.3266,-84.5361,32.076176,-81.088371,799.0939472572701,2.59818789451454,4.722081459768571
56,US-2021-147627-CHO-FUD-51000,20-01-2024,19-07-2026,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot's O' Nuts,34.9697,-92.3731,32.881893,-111.768036,1118.6725513617769,3.2373451027235536,5.60104174937829
57,US-2021-148614-CHO-SCR-58000,20-01-2024,18-07-2026,Standard Class,148614,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,36.7783,-119.4179,32.881893,-111.768036,509.98328858254104,2.019966577165082,2.3585758471695124
58,US-2021-167927-CHO-FUD-51000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot's O' Nuts,43.3266,-84.5361,32.881893,-111.768036,1635.8269360528968,4.2716538721057935,6.160110907477718
59,US-2021-167927-CHO-MIL-31000,20-01-2024,19-07-2026,Standard Class,167927,United States,Westland,Michigan,48185,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,43.3266,-84.5361,32.076176,-81.088371,799.0939472572701,2.59818789451454,4.162292586894662
60,US-2021-147627-CHO-FUD-51000,20-01-2024,19-07-2026,Standard Class,147627,United States,Jonesboro,Arkansas,72401,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot's O' Nuts,34.9697,-92.3731,32.881893,-111.768036,1118.6725513617769,3.2373451027235536,5.636453755783218
61,US-2021-110422-CHO-TRI-54000,21-01-2024,16-07-2026,Second Class,110422,United States,Miami,Florida,33180,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,27.7663,-81.6868,32.076176,-81.088371,299.7214298619735,1.599442859723947,1.2161034694477149
62,CA-2021-115238-CHO-FUD-51000,21-01-2024,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot's O' Nuts,50.0,-85.0,32.881893,-111.768036,1803.6517065305995,4.607303413061199,6.762427938260745
63,CA-2021-115238-CHO-MIL-31000,21-01-2024,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,50.0,-85.0,32.076176,-81.088371,1253.761831620216,3.5075236632404323,4.376217515655826
64,CA-2021-115238-CHO-TRI-54000,21-01-2024,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,Wicked Choccy's,50.0,-85.0,32.076176,-81.088371,1253.761831620216,3.5075236632404323,4.3043201955961115
65,CA-2021-115238-CHO-FUD-51000,21-01-2024,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot's O' Nuts,50.0,-85.0,32.881893,-111.768036,1803.6517065305995,4.607303413061199,7.560975777507157
66,CA-2021-115238-CHO-MIL-31000,21-01-2024,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,Wicked Choccy's,50.0,-85.0,32.076176,-81.088371,1253.761831620216,3.5075236632404323,6.346277517717307
67,US-2021-146997-CHO-TRI-54000,23-01-2024,20-07-2026,Standard Class,146997,United States,Lafayette,Indiana,47905,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,39.8494,-86.2583,32.076176,-81.088371,609.2429472395762,2.2184858944791523,3.2701207444544615
68,US-2021-102645-CHO-FUD-51000,23-01-2024,21-07-2026,Standard Class,102645,United States,Las Vegas,Nevada,89115,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,Lot's O' Nuts,38.3135,-117.0554,32.881893,-111.768036,478.09319352236275,1.9561863870447254,3.7371058988807073
69,US-2021-167997-CHO-TRI-54000,26-01-2024,22-07-2026,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,44.2998,-99.4388,32.076176,-81.088371,1299.9978385472307,3.599995677094461,2.449306226294784
70,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,2.262885142015614
71,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,3.0680974301064445
72,US-2021-167997-CHO-TRI-54000,26-01-2024,22-07-2026,First Class,167997,United States,Rapid City,South Dakota,57701,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,44.2998,-99.4388,32.076176,-81.088371,1299.9978385472307,3.599995677094461,3.390426659429452
73,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,2.7503201144117524
74,US-2021-155502-CHO-TRI-54000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,4.030695870350918
75,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,1.0
76,US-2021-155502-CHO-FUD-51000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,37.7693,-78.1699,32.881893,-111.768036,1911.9687012678346,4.82393740253567,7.893428107303683
77,US-2021-155502-CHO-MIL-31000,26-01-2024,24-07-2026,Standard Class,155502,United States,Alexandria,Virginia,22304,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,42.25,13,27.43,14.82,Wicked Choccy's,37.7693,-78.1699,32.076176,-81.088371,426.32698189990447,1.852653963799809,2.8486186002902505
78,US-2021-117163-CHO-NUT-13000,27-01-2024,26-07-2026,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,36.7783,-119.4179,32.881893,-111.768036,509.98328858254104,2.019966577165082,2.790743985374929
79,US-2021-117163-CHO-TRI-54000,27-01-2024,26-07-2026,Standard Class,117163,United States,San Diego,California,92037,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy's,36.7783,-119.4179,32.076176,-81.088371,2192.2162092613235,5.384432418522647,8.150057249012374
